datetime,count
2011-01-20 00:00:00,10.73
2011-01-20 01:00:00,5.31
2011-01-20 02:00:00,3.87
2011-01-20 03:00:00,3.47
2011-01-20 04:00:00,2.81
2011-01-20 05:00:00,6.3
2011-01-20 06:00:00,36.73
2011-01-20 07:00:00,86.28
2011-01-20 08:00:00,197.96
2011-01-20 09:00:00,125.17
2011-01-20 10:00:00,56.4
2011-01-20 11:00:00,55.97
2011-01-20 12:00:00,72.41
2011-01-20 13:00:00,69.17
2011-01-20 14:00:00,72.79
2011-01-20 15:00:00,74.97
2011-01-20 16:00:00,84.65
2011-01-20 17:00:00,193.19
2011-01-20 18:00:00,162.74
2011-01-20 19:00:00,100.12
2011-01-20 20:00:00,68.37
2011-01-20 21:00:00,49.01
2011-01-20 22:00:00,41.95
2011-01-20 23:00:00,26.82
2011-01-21 00:00:00,12.2
2011-01-21 01:00:00,6.91
2011-01-21 02:00:00,4.71
2011-01-21 03:00:00,2.69
2011-01-21 04:00:00,3.01
2011-01-21 05:00:00,5.12
2011-01-21 06:00:00,34.37
2011-01-21 07:00:00,85.65
2011-01-21 08:00:00,190.81
2011-01-21 09:00:00,122.49
2011-01-21 10:00:00,49.97
2011-01-21 11:00:00,63.36
2011-01-21 12:00:00,72.81
2011-01-21 13:00:00,65.66
2011-01-21 14:00:00,62.74
2011-01-21 15:00:00,62.5
2011-01-21 16:00:00,75.77
2011-01-21 17:00:00,156.44
2011-01-21 18:00:00,144.14
2011-01-21 19:00:00,100.16
2011-01-21 20:00:00,58.99
2011-01-21 21:00:00,44.1
2011-01-21 22:00:00,31.5
2011-01-21 23:00:00,22.56
2011-01-22 00:00:00,26.95
2011-01-22 01:00:00,16.18
2011-01-22 02:00:00,14.91
2011-01-22 03:00:00,6.37
2011-01-22 04:00:00,3.5
2011-01-22 06:00:00,3.58
2011-01-22 07:00:00,14.25
2011-01-22 08:00:00,20.07
2011-01-22 09:00:00,32.62
2011-01-22 10:00:00,57.96
2011-01-22 11:00:00,62.16
2011-01-22 12:00:00,73.57
2011-01-22 13:00:00,73.26
2011-01-22 14:00:00,71.44
2011-01-22 15:00:00,74.95
2011-01-22 16:00:00,77.4
2011-01-22 17:00:00,75.82
2011-01-22 18:00:00,58.81
2011-01-22 19:00:00,46.33
2011-01-22 20:00:00,38.19
2011-01-22 21:00:00,39.87
2011-01-22 22:00:00,33.34
2011-01-22 23:00:00,24.91
2011-01-23 00:00:00,30.56
2011-01-23 01:00:00,21.53
2011-01-23 02:00:00,19.11
2011-01-23 03:00:00,14.25
2011-01-23 05:00:00,3.4
2011-01-23 06:00:00,1.83
2011-01-23 07:00:00,10.63
2011-01-23 08:00:00,18.78
2011-01-23 09:00:00,28.94
2011-01-23 10:00:00,53.16
2011-01-23 11:00:00,60.8
2011-01-23 12:00:00,71.62
2011-01-23 13:00:00,67.26
2011-01-23 14:00:00,74.15
2011-01-23 15:00:00,74.64
2011-01-23 16:00:00,77.46
2011-01-23 17:00:00,63.86
2011-01-23 18:00:00,58.69
2011-01-23 19:00:00,41.96
2011-01-23 20:00:00,33.92
2011-01-23 21:00:00,32.45
2011-01-23 22:00:00,21.18
2011-01-23 23:00:00,19.0
2011-01-24 00:00:00,12.5
2011-01-24 01:00:00,4.3
2011-01-24 03:00:00,1.72
2011-01-24 04:00:00,2.38
2011-01-24 05:00:00,4.96
2011-01-24 06:00:00,33.76
2011-01-24 07:00:00,75.35
2011-01-24 08:00:00,170.98
2011-01-24 09:00:00,99.31
2011-01-24 10:00:00,48.46
2011-01-24 11:00:00,41.57
2011-01-24 12:00:00,52.44
2011-01-24 13:00:00,46.99
2011-01-24 14:00:00,45.3
2011-01-24 15:00:00,58.97
2011-01-24 16:00:00,70.93
2011-01-24 17:00:00,157.07
2011-01-24 18:00:00,146.67
2011-01-24 19:00:00,98.72
2011-01-24 20:00:00,60.17
2011-01-24 21:00:00,48.65
2011-01-24 22:00:00,22.4
2011-01-24 23:00:00,20.66
2011-01-25 00:00:00,9.4
2011-01-25 01:00:00,3.76
2011-01-25 02:00:00,3.04
2011-01-25 04:00:00,2.5
2011-01-25 05:00:00,4.97
2011-01-25 06:00:00,33.28
2011-01-25 07:00:00,87.34
2011-01-25 08:00:00,169.29
2011-01-25 09:00:00,116.58
2011-01-25 10:00:00,55.1
2011-01-25 11:00:00,53.14
2011-01-25 12:00:00,67.11
2011-01-25 13:00:00,67.8
2011-01-25 14:00:00,69.16
2011-01-25 15:00:00,67.95
2011-01-25 16:00:00,84.68
2011-01-25 17:00:00,202.07
2011-01-25 18:00:00,185.83
2011-01-25 19:00:00,102.1
2011-01-25 20:00:00,65.67
2011-01-25 21:00:00,49.44
2011-01-25 22:00:00,35.23
2011-01-25 23:00:00,23.15
2011-01-26 00:00:00,9.19
2011-01-26 01:00:00,5.38
2011-01-26 02:00:00,3.28
2011-01-26 05:00:00,3.77
2011-01-26 06:00:00,21.12
2011-01-26 07:00:00,86.7
2011-01-26 08:00:00,159.52
2011-01-26 09:00:00,99.29
2011-01-26 10:00:00,54.41
2011-01-26 11:00:00,53.44
2011-01-26 12:00:00,56.26
2011-01-26 13:00:00,55.6
2011-01-26 14:00:00,54.68
2011-01-26 15:00:00,60.74
2011-01-26 16:00:00,74.06
2011-01-26 17:00:00,127.33
2011-01-27 16:00:00,76.31
2011-01-27 17:00:00,168.63
2011-01-27 18:00:00,139.03
2011-01-27 19:00:00,98.0
2011-01-27 20:00:00,67.71
2011-01-27 21:00:00,52.02
2011-01-27 22:00:00,35.78
2011-01-27 23:00:00,24.73
2011-01-28 00:00:00,12.35
2011-01-28 01:00:00,6.79
2011-01-28 02:00:00,2.59
2011-01-28 03:00:00,2.29
2011-01-28 05:00:00,5.86
2011-01-28 06:00:00,31.7
2011-01-28 07:00:00,90.45
2011-01-28 08:00:00,176.59
2011-01-28 09:00:00,105.34
2011-01-28 10:00:00,39.97
2011-01-28 11:00:00,47.55
2011-01-28 12:00:00,52.09
2011-01-28 13:00:00,53.0
2011-01-28 14:00:00,54.36
2011-01-28 15:00:00,52.34
2011-01-28 16:00:00,74.59
2011-01-28 17:00:00,162.97
2011-01-28 18:00:00,138.94
2011-01-28 19:00:00,100.17
2011-01-28 20:00:00,66.98
2011-01-28 21:00:00,46.29
2011-01-28 22:00:00,37.44
2011-01-28 23:00:00,28.57
2011-01-29 00:00:00,32.87
2011-01-29 01:00:00,22.1
2011-01-29 02:00:00,18.94
2011-01-29 03:00:00,13.74
2011-01-29 04:00:00,2.13
2011-01-29 06:00:00,2.73
2011-01-29 07:00:00,12.43
2011-01-29 08:00:00,23.07
2011-01-29 09:00:00,42.17
2011-01-29 10:00:00,63.91
2011-01-29 11:00:00,65.13
2011-01-29 12:00:00,82.89
2011-01-29 13:00:00,83.87
2011-01-29 14:00:00,81.63
2011-01-29 15:00:00,81.72
2011-01-29 16:00:00,85.42
2011-01-29 17:00:00,83.62
2011-01-29 18:00:00,65.82
2011-01-29 19:00:00,63.91
2011-01-29 20:00:00,43.74
2011-01-29 21:00:00,39.4
2011-01-29 22:00:00,30.67
2011-01-29 23:00:00,25.85
2011-01-30 00:00:00,33.81
2011-01-30 01:00:00,29.45
2011-01-30 02:00:00,26.57
2011-01-30 03:00:00,11.56
2011-01-30 04:00:00,4.42
2011-01-30 05:00:00,4.2
2011-01-30 07:00:00,12.5
2011-01-30 08:00:00,18.16
2011-01-30 09:00:00,31.78
2011-01-30 10:00:00,60.9
2011-01-30 11:00:00,66.42
2011-01-30 12:00:00,95.28
2011-01-30 13:00:00,86.02
2011-01-30 14:00:00,87.15
2011-01-30 15:00:00,91.44
2011-01-30 16:00:00,92.64
2011-01-30 17:00:00,85.22
2011-01-30 18:00:00,67.44
2011-01-30 19:00:00,49.31
2011-01-30 20:00:00,34.42
2011-01-30 21:00:00,28.43
2011-01-30 22:00:00,22.45
2011-01-30 23:00:00,22.12
2011-01-31 00:00:00,11.56
2011-01-31 01:00:00,3.1
2011-01-31 02:00:00,3.32
2011-01-31 03:00:00,2.74
2011-01-31 04:00:00,2.2
2011-01-31 05:00:00,2.54
2011-01-31 06:00:00,31.32
2011-01-31 07:00:00,82.87
2011-01-31 08:00:00,159.67
2011-01-31 09:00:00,91.79
2011-01-31 10:00:00,39.41
2011-01-31 11:00:00,39.82
2011-01-31 12:00:00,54.03
2011-01-31 13:00:00,52.79
2011-01-31 14:00:00,53.86
2011-01-31 15:00:00,52.7
2011-01-31 16:00:00,72.04
2011-01-31 17:00:00,165.03
2011-01-31 18:00:00,147.79
2011-01-31 19:00:00,117.04
2011-01-31 20:00:00,60.33
2011-01-31 21:00:00,48.31
2011-01-31 22:00:00,27.74
2011-01-31 23:00:00,20.29
2011-02-20 00:00:00,32.7
2011-02-20 01:00:00,20.73
2011-02-20 02:00:00,16.34
2011-02-20 03:00:00,7.38
2011-02-20 04:00:00,2.23
2011-02-20 06:00:00,2.66
2011-02-20 07:00:00,16.12
2011-02-20 08:00:00,26.72
2011-02-20 09:00:00,41.84
2011-02-20 10:00:00,101.04
2011-02-20 11:00:00,119.49
2011-02-20 12:00:00,127.47
2011-02-20 13:00:00,160.08
2011-02-20 14:00:00,146.54
2011-02-20 15:00:00,159.03
2011-02-20 16:00:00,155.28
2011-02-20 17:00:00,119.49
2011-02-20 18:00:00,93.02
2011-02-20 19:00:00,69.79
2011-02-20 20:00:00,58.53
2011-02-20 21:00:00,45.68
2011-02-20 22:00:00,38.82
2011-02-20 23:00:00,36.18
2011-02-21 00:00:00,22.79
2011-02-21 01:00:00,24.18
2011-02-21 02:00:00,8.95
2011-02-21 03:00:00,3.65
2011-02-21 04:00:00,3.37
2011-02-21 05:00:00,5.99
2011-02-21 06:00:00,18.63
2011-02-21 07:00:00,81.05
2011-02-21 08:00:00,113.66
2011-02-21 09:00:00,82.84
2011-02-21 10:00:00,78.71
2011-02-21 11:00:00,80.1
2011-02-21 12:00:00,89.08
2011-02-21 13:00:00,61.77
2011-02-21 14:00:00,89.04
2011-02-21 15:00:00,86.94
2011-02-21 16:00:00,73.97
2011-02-21 17:00:00,99.44
2011-02-21 18:00:00,88.45
2011-02-21 19:00:00,87.47
2011-02-21 20:00:00,61.67
2011-02-21 21:00:00,44.27
2011-02-21 22:00:00,29.45
2011-02-21 23:00:00,24.58
2011-02-22 06:00:00,29.46
2011-02-22 07:00:00,100.12
2011-02-22 08:00:00,198.48
2011-02-22 09:00:00,123.54
2011-02-22 10:00:00,48.61
2011-02-22 11:00:00,48.61
2011-02-22 12:00:00,59.1
2011-02-22 13:00:00,58.77
2011-02-22 14:00:00,58.97
2011-02-22 15:00:00,65.2
2011-02-22 16:00:00,74.9
2011-02-22 17:00:00,165.29
2011-02-22 18:00:00,158.26
2011-02-22 19:00:00,104.8
2011-02-22 20:00:00,78.94
2011-02-22 21:00:00,57.1
2011-02-22 22:00:00,33.54
2011-02-22 23:00:00,21.94
2011-02-23 00:00:00,13.74
2011-02-23 01:00:00,6.28
2011-02-23 02:00:00,2.45
2011-02-23 03:00:00,1.93
2011-02-23 05:00:00,5.9
2011-02-23 06:00:00,31.44
2011-02-23 07:00:00,92.99
2011-02-23 08:00:00,207.26
2011-02-23 09:00:00,122.79
2011-02-23 10:00:00,58.78
2011-02-23 11:00:00,59.08
2011-02-23 12:00:00,74.53
2011-02-23 13:00:00,74.4
2011-02-23 14:00:00,75.6
2011-02-23 15:00:00,76.3
2011-02-23 16:00:00,100.37
2011-02-23 17:00:00,217.8
2011-02-23 18:00:00,207.83
2011-02-23 19:00:00,126.25
2011-02-23 20:00:00,80.8
2011-02-23 21:00:00,64.13
2011-02-23 22:00:00,44.28
2011-02-23 23:00:00,32.41
2011-02-24 00:00:00,12.86
2011-02-24 01:00:00,5.34
2011-02-24 02:00:00,2.2
2011-02-24 03:00:00,2.32
2011-02-24 05:00:00,6.02
2011-02-24 06:00:00,36.27
2011-02-24 07:00:00,99.43
2011-02-24 08:00:00,230.91
2011-02-24 09:00:00,136.66
2011-02-24 10:00:00,59.12
2011-02-24 11:00:00,73.53
2011-02-24 12:00:00,96.15
2011-02-24 13:00:00,91.38
2011-02-24 14:00:00,90.08
2011-02-24 15:00:00,48.89
2011-02-24 16:00:00,62.75
2011-02-24 17:00:00,176.09
2011-02-24 18:00:00,179.28
2011-02-24 19:00:00,112.5
2011-02-24 20:00:00,84.88
2011-02-24 21:00:00,65.41
2011-02-24 22:00:00,52.17
2011-02-24 23:00:00,33.26
2011-02-25 00:00:00,10.61
2011-02-25 01:00:00,10.91
2011-02-25 02:00:00,8.52
2011-02-25 03:00:00,2.49
2011-02-25 05:00:00,6.7
2011-02-25 06:00:00,19.57
2011-02-25 07:00:00,88.78
2011-02-25 08:00:00,162.63
2011-02-25 09:00:00,103.73
2011-02-25 10:00:00,38.43
2011-02-25 11:00:00,131.69
2011-02-25 12:00:00,169.93
2011-02-25 13:00:00,168.77
2011-02-25 14:00:00,176.06
2011-02-25 15:00:00,172.21
2011-02-25 16:00:00,110.43
2011-02-25 17:00:00,197.21
2011-02-25 18:00:00,186.63
2011-02-25 19:00:00,116.15
2011-02-25 20:00:00,69.76
2011-02-25 21:00:00,54.16
2011-02-25 22:00:00,40.78
2011-02-25 23:00:00,32.03
2011-02-26 00:00:00,29.73
2011-02-26 01:00:00,20.82
2011-02-26 02:00:00,19.04
2011-02-26 03:00:00,13.1
2011-02-26 04:00:00,2.92
2011-02-26 05:00:00,2.84
2011-02-26 06:00:00,3.86
2011-02-26 07:00:00,11.7
2011-02-26 08:00:00,17.51
2011-02-26 09:00:00,55.66
2011-02-26 10:00:00,101.79
2011-02-26 11:00:00,116.42
2011-02-26 12:00:00,132.7
2011-02-26 13:00:00,152.61
2011-02-26 14:00:00,136.44
2011-02-26 15:00:00,148.75
2011-02-26 16:00:00,156.63
2011-02-26 17:00:00,126.17
2011-02-26 18:00:00,104.44
2011-02-26 19:00:00,72.34
2011-02-26 20:00:00,62.12
2011-02-26 21:00:00,50.36
2011-02-26 22:00:00,44.72
2011-02-26 23:00:00,38.73
2011-02-27 00:00:00,35.26
2011-02-27 01:00:00,24.26
2011-02-27 02:00:00,22.5
2011-02-27 03:00:00,12.84
2011-02-27 04:00:00,4.62
2011-02-27 06:00:00,3.22
2011-02-27 07:00:00,19.15
2011-02-27 08:00:00,25.56
2011-02-27 09:00:00,50.87
2011-02-27 10:00:00,91.46
2011-02-27 11:00:00,136.01
2011-02-27 12:00:00,153.64
2011-02-27 13:00:00,178.39
2011-02-27 14:00:00,193.79
2011-02-27 15:00:00,235.3
2011-02-27 16:00:00,250.15
2011-02-27 17:00:00,130.46
2011-02-27 18:00:00,97.71
2011-02-27 19:00:00,75.84
2011-02-27 20:00:00,60.96
2011-02-27 21:00:00,56.52
2011-02-27 22:00:00,48.4
2011-02-27 23:00:00,41.66
2011-02-28 00:00:00,16.69
2011-02-28 01:00:00,5.73
2011-02-28 03:00:00,2.58
2011-02-28 05:00:00,6.52
2011-02-28 06:00:00,31.54
2011-02-28 07:00:00,105.93
2011-02-28 08:00:00,198.58
2011-02-28 09:00:00,131.99
2011-02-28 10:00:00,98.13
2011-02-28 11:00:00,114.87
2011-02-28 12:00:00,120.4
2011-02-28 13:00:00,90.21
2011-02-28 14:00:00,44.47
2011-02-28 15:00:00,44.33
2011-02-28 16:00:00,65.07
2011-02-28 17:00:00,172.24
2011-02-28 18:00:00,164.56
2011-02-28 19:00:00,113.23
2011-02-28 20:00:00,97.18
2011-02-28 21:00:00,67.99
2011-02-28 22:00:00,45.08
2011-02-28 23:00:00,24.36
2011-03-20 00:00:00,32.75
2011-03-20 01:00:00,25.81
2011-03-20 02:00:00,19.93
2011-03-20 03:00:00,11.33
2011-03-20 04:00:00,4.88
2011-03-20 05:00:00,3.77
2011-03-20 06:00:00,3.89
2011-03-20 07:00:00,22.01
2011-03-20 08:00:00,36.9
2011-03-20 09:00:00,71.05
2011-03-20 10:00:00,110.85
2011-03-20 11:00:00,148.59
2011-03-20 12:00:00,158.79
2011-03-20 13:00:00,159.16
2011-03-20 14:00:00,158.8
2011-03-20 15:00:00,161.52
2011-03-20 16:00:00,167.25
2011-03-20 17:00:00,172.95
